"Total","Age","Caffeine Consumption","Variable","Unit","Participants","Percentage","percent_50"
727,"20–23",263,"Intake frequency of regular coffee","1–2 Units",439,60.39,TRUE
0,"20–23",263,"Intake frequency of regular coffee","3–4 Units",94,12.93,FALSE
0,"20–23",263,"Intake frequency of regular coffee","≥5 Units",20,2.76,FALSE
0,"20–23",263,"Intake frequency of decaf coffee","None",589,81.02,TRUE
0,"20–23",263,"Intake frequency of decaf coffee","1–2 Units",107,14.72,FALSE
0,"20–23",263,"Intake frequency of decaf coffee","3–4 Units",21,2.89,FALSE
0,"20–23",263,"Intake frequency of decaf coffee","≥5 Units",10,1.38,FALSE
0,"20–23",263,"Intake frequency of concentrated coffee","None",326,44.84,FALSE
0,"20–23",263,"Intake frequency of concentrated coffee","1–2 Units",275,37.83,FALSE
0,"20–23",263,"Intake frequency of concentrated coffee","3–4 Units",89,12.24,FALSE
0,"20–23",263,"Intake frequency of concentrated coffee","≥5 Units",37,5.09,FALSE
0,"24–27",65,"Intake frequency of regular coffee","1–2 Units",439,60.39,TRUE
0,"24–27",65,"Intake frequency of regular coffee","3–4 Units",94,12.93,FALSE
0,"24–27",65,"Intake frequency of regular coffee","≥5 Units",20,2.76,FALSE
0,"24–27",65,"Intake frequency of decaf coffee","None",589,81.02,TRUE
0,"24–27",65,"Intake frequency of decaf coffee","1–2 Units",107,14.72,FALSE
0,"24–27",65,"Intake frequency of decaf coffee","3–4 Units",21,2.89,FALSE
0,"24–27",65,"Intake frequency of decaf coffee","≥5 Units",10,1.38,FALSE
0,"24–27",65,"Intake frequency of concentrated coffee","None",326,44.84,FALSE
0,"24–27",65,"Intake frequency of concentrated coffee","1–2 Units",275,37.83,FALSE
0,"24–27",65,"Intake frequency of concentrated coffee","3–4 Units",89,12.24,FALSE
0,"24–27",65,"Intake frequency of concentrated coffee","≥5 Units",37,5.09,FALSE
0,"28+",46,"Intake frequency of regular coffee","1–2 Units",439,60.39,TRUE
0,"28+",46,"Intake frequency of regular coffee","3–4 Units",94,12.93,FALSE
0,"28+",46,"Intake frequency of regular coffee","≥5 Units",20,2.76,FALSE
0,"28+",46,"Intake frequency of decaf coffee","None",589,81.02,TRUE
0,"28+",46,"Intake frequency of decaf coffee","1–2 Units",107,14.72,FALSE
0,"28+",46,"Intake frequency of decaf coffee","3–4 Units",21,2.89,FALSE
0,"28+",46,"Intake frequency of decaf coffee","≥5 Units",10,1.38,FALSE
0,"28+",46,"Intake frequency of concentrated coffee","None",326,44.84,FALSE
0,"28+",46,"Intake frequency of concentrated coffee","1–2 Units",275,37.83,FALSE
0,"28+",46,"Intake frequency of concentrated coffee","3–4 Units",89,12.24,FALSE
0,"28+",46,"Intake frequency of concentrated coffee","≥5 Units",37,5.09,FALSE
